"db";"en";"comp_id";"Id"
"db";"en";"comp_lang";"Language"
"db";"en";"comp_name";"Name"
"db";"en";"lang";"Language"
"db";"en";"namespace";"Namespace"
"db";"en";"text_code";"Code"
"db";"en";"the_text";"Text"
"author";"en";"list_papers";"List of my current submissions"
"db";"en";"user_email";"Email"
"db";"en";"user_fname";"First name"
"db";"en";"user_id";"Id"
"db";"en";"user_lname";"Last name"
"db";"en";"user_super_admin";"Super admin"
"db";"en";"user_country";"Country"
"db";"en";"user_name";"Name"
"db";"en";"user_affiliation";"Affiliation"
"form";"en";"cancel";"Cancel"
"form";"en";"preview";"Preview"
"form";"en";"save";"Save"
"form";"en";"save_draft";"Save as draft"
"form";"en";"search";"Search"
"form";"en";"search_in_ad";"Search in group directory"
"form";"en";"send";"Send"
"form";"en";"validate";"Validate"
"form";"en";"visualised";"Visualised"
"form";"en";"delete";"Delete"
"form";"en";"insert";"Insert"
"form";"en";"modify";"Modify"
"form";"en";"submit";"Submit"
"zmax";"en";"add_line";"Add a new"
"zmax";"en";"group_portal_link";"Group portal"
"zmax";"en";"homepage";"Homepage"
"zmax";"en";"menu";"Menu"
"zmax";"en";"news_link";"News"
"zmax";"en";"packaging_portal_link";"Packaging portal"
"zmax";"en";"texts_link";"Texts"
"zmax";"en";"texts_title";"Texts setting"
"zmax";"en";"translation_link";"Translation"
"zmax";"en";"user_link";"Users"
"zmax";"en";"user_title";"Users setting"
"def";"en";"error_account_header";"Please check and correct"
"def";"en";"error_account_expl";"The following error have been met when tying to process your request. Please correct."
"form";"en";"city";"Your city"
"form";"en";"zip_code";"Zip code"
"form";"en";"state";"Your state (optional)"
"author";"en";"zip_code_error";"You must enter a zip code"
"author";"en";"city_error";"You must enter a city name"
"author";"en";"affiliation_error";"You must give your affiliation"
"author";"en";"abstract_section_empty";"Abstract (or part of) missing"
"author";"en";"background";"Background"
"author";"en";"objectives";"Objectives"
"author";"en";"materiel";"Materiel"
"author";"en";"results";"Results"
"admin";"en";"index_intro";"The present page proposes all the choices of the MyReview
administration."
"admin";"en";"index_menu_addlangs";"Add/remove a lang."
"admin";"en";"index_menu_admin_title";"Configure the system behavior and layout."
"admin";"en";"index_menu_config";"Configuration form"
"form";"en";"submission_title";"Title"
"form";"en";"abstract_submission_form";"Abstract submission form"
"form";"en";"paper_title";"Title of the paper"
"author";"en";"missing_title";"You must provide a title."
"author";"en";"missing_authors";"You must provide at least one author"
"author";"en";"missing_abstract";"You must provide an abstract"
"author";"en";"login_message";"Please enter the paper id and password to access 
the upload interface."
"author";"en";"invalid_paper_id";"Please provide a correct paper id."
"author";"en";"invalid_paper_info";"Invalid paper id or password. Please correct."
"author";"en";"subject_password_recall";"Password recall."
"author";"en";"password_recall";"A mail containing the password has been sent to the contact author of this paper. "
"author";"en";"submission_closed";"The paper submission is closed."
"author";"en";"subj_cr_paper_upload";"Upload of your camera-ready file."
"author";"en";"subj_paper_upload";"Upload of your paper."
"author";"en";"subj_paper_update";"Update of your submission."
"author";"en";"missing_file";"File is missing. Please correct."
"author";"en";"file_too_large";"File size exceeds the allowed limit. Please contact the admin."
"author";"en";"partial_upload";"File partially uploaded. Please try again or contact the admin."
"author";"en";"invalid_format";"This file type is not accepted."
"admin";"en";"index_menu_prepare_conf";"Prepare your conference"
"admin";"en";"manage_submission_menu";"Submissions and authors"
"admin";"en";"manage_selection_menu";"Manage the selection process"
"admin";"en";"manage_assignment_menu";"Papers assignment"
"admin";"en";"message_sent_to_reviewers";"The message has been sent to all reviewers."
"admin";"en";"all_reviewers";"All reviewers"
"admin";"en";"subj_topics";"Choose your preferred topics."
"admin";"en";"submission_now_closed";"The submission phase is now over."
"admin";"en";"subj_prefs";"Paper rating"
